Count_Date,Leg1-2,Leg1-3,Leg1-4,Leg1-5,Leg2-1,Leg2-3,Leg2-4,Leg2-5,Leg3-1,Leg3-2,Leg3-4,Leg3-5,Leg4-1,Leg4-2,Leg4-3,Leg4-5,Leg5-1,Leg5-2,Leg5-3,Leg5-4,Legs,State,Trips/hour,comparison,description,electorate,latitude,leg1_enter,leg1_exit,leg1_total,leg2_enter,leg2_exit,leg2_total,leg3_enter,leg3_exit,leg3_total,leg4_enter,leg4_exit,leg4_total,leg5_enter,leg5_exit,leg5_total,longitude,not known,site_id,year
3/09/2019,17,26,0,0,21,17,0,0,81,7,0,0,0,0,0,0,0,0,0,0,3,NT,96.0,-0.137755102,"Rapid Creek Path Bridge [N], Foreshore Path [SE], Foreshore Path [W]",Darwin,-12.376238,43,102,145,38,24,62,88,43,131,0,0,0,0,0,0,130.860332,1,5483,2019
3/09/2019,9,8,0,0,7,18,0,0,11,9,0,0,0,0,0,0,0,0,0,0,3,NT,33.6,0.24,"Chapman Rd [NE], Nightcliff Rd [SE], Nightcliff Rd [NW]",Darwin,-12.384294,17,18,35,25,18,43,20,26,46,0,0,0,0,0,0,130.855426,0,5482,2019
3/09/2019,3,12,0,0,9,1,4,0,7,1,2,0,0,7,3,0,0,0,0,0,4,NT,25.2,0.484848485,"Rossiter St [NE], Ryland Rd [SE], Rossiter St [SW], Ryland Rd [NW]",Darwin,-12.380754,15,16,31,14,11,25,10,16,26,10,6,16,0,0,0,130.85885,1,5481,2019
27/07/2021,1,1,0,0,0,5,0,0,1,21,0,0,0,0,0,0,0,0,0,0,3,NT,14.4,-0.452830189,"Peel St [NE], Esplanade [SE], Esplanade [NW]",Darwin,-12.463135,2,1,3,5,22,27,22,6,28,0,0,0,0,0,0,130.837902,0,5467,2021
27/07/2021,7,8,5,0,1,0,2,0,3,0,7,0,2,10,7,0,0,0,0,0,4,NT,29.4,-0.388235294,"Daly St [NE], Mitchell St [SE], Daly St [SW], Mitchell St [NW]",Darwin,-12.458635,20,6,26,3,17,20,10,15,25,19,14,33,0,0,0,130.835209,0,5468,2021
27/07/2021,5,16,11,0,1,4,7,0,1,2,0,0,3,29,5,0,0,0,0,0,4,NT,44.8,0.063291139,"Daly St [NE], Smith St [SE], Daly St [SW], Smith St [NW]",Darwin,-12.457703,32,5,37,12,36,48,3,25,28,37,18,55,0,0,0,130.836128,1,5469,2021
27/07/2021,9,26,0,0,2,0,4,0,3,4,1,0,2,16,5,0,0,0,0,0,4,NT,38.8,-0.162790698,"Daly St [NE], Cavenagh St [SE], Daly St [SW], Gardens Rd [NW]",Darwin,-12.456674,35,7,42,6,29,35,8,31,39,23,5,28,0,0,0,130.837168,1,5470,2021
27/07/2021,9,10,1,0,12,0,5,0,5,2,2,0,11,5,1,0,0,0,0,0,4,NT,34.4,0.340425532,"Gilruth Ave [N], Smith St [SE], Lambell Tce [SW], Kahlin Ave [NW]",Darwin,-12.452352,20,28,48,17,16,33,9,11,20,17,8,25,0,0,0,130.830522,0,5471,2021
27/07/2021,1,8,7,0,3,4,8,0,5,0,2,0,0,3,0,0,0,0,0,0,4,NT,18.0,-0.254545455,"Lee Point Rd [NE], Lee Point Rd [SE], Parer Dr [SW], Parer Dr [NW]",Darwin,-12.386554,16,8,24,15,4,19,7,12,19,3,17,20,0,0,0,130.886736,0,5488,2021
27/07/2021,1,4,0,0,3,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,3,NT,7.4,-0.428571429,"Trower Rd [E], Rothdale Rd [S], Trower Rd [W]",Darwin,-12.382667,5,10,15,3,2,5,8,4,12,0,0,0,0,0,0,130.876676,0,5487,2021
27/07/2021,5,4,0,0,30,7,0,0,9,2,0,0,0,0,0,0,0,0,0,0,3,NT,29.6,0.390243902,"Henbury Ave [N], Tambling Tce [E], Henbury Ave [S]",Darwin,-12.365755,9,39,48,37,7,44,11,11,22,0,0,0,0,0,0,130.885704,0,5486,2021
27/07/2021,0,11,25,0,2,3,1,0,5,1,23,0,1,0,1,0,0,0,0,0,4,NT,40.6,-0.0875,"Rocklands Dr [E], Roper St [S], Rocklands Dr [W], Florey Ave [N]",Darwin,-12.359174,36,8,44,6,1,7,29,15,44,2,49,51,0,0,0,130.882951,0,5485,2021
27/07/2021,4,13,0,0,4,7,0,0,15,14,0,0,0,0,0,0,0,0,0,0,3,NT,32.0,-0.185714286,"Rocklands Dr [N], Trower Rd [E], Trower Rd [W]",Darwin,-12.365103,17,19,36,11,18,29,29,20,49,0,0,0,0,0,0,130.87249,0,5484,2021
27/07/2021,17,30,0,0,40,33,0,0,71,25,0,0,0,0,0,0,0,0,0,0,3,NT,123.0,0.278106509,"Rapid Creek Path Bridge [N], Foreshore Path [SE], Foreshore Path [W]",Darwin,-12.376238,47,111,158,73,42,115,96,63,159,0,0,0,0,0,0,130.860332,0,5483,2021
27/07/2021,3,4,0,0,6,18,0,0,6,12,0,0,0,0,0,0,0,0,0,0,3,NT,28.2,-0.209677419,"Chapman Rd [NE], Nightcliff Rd [SE], Nightcliff Rd [NW]",Darwin,-12.384294,7,12,19,24,15,39,18,22,40,0,0,0,0,0,0,130.855426,0,5482,2021
