Leg1-2,Leg1-3,Leg1-4,Leg1-5,Leg2-1,Leg2-3,Leg2-4,Leg2-5,Leg3-1,Leg3-2,Leg3-4,Leg3-5,Leg4-1,Leg4-2,Leg4-3,Leg4-5,Leg5-1,Leg5-2,Leg5-3,Leg5-4,Legs,comparison,latitude,leg1_enter,leg1_exit,leg1_total,leg2_enter,leg2_exit,leg2_total,leg3_enter,leg3_exit,leg3_total,leg4_enter,leg4_exit,leg4_total,leg5_enter,leg5_exit,leg5_total,longitude,not known,site_id,year,Trips/hour
2,9,25,0,2,0,4,0,14,2,4,0,15,4,1,0,0,0,0,0,4,-0.012048193,-12.385471,36,31,67,6,8,14,20,10,30,20,33,53,0,0,0,130.864514,1,5518,2021,46.8
7,0,7,0,4,0,11,0,0,0,0,0,2,6,3,0,0,0,0,0,4,-0.215686275,-12.375801,14,6,20,15,13,28,0,3,3,11,18,29,0,0,0,130.88271,2,5519,2021,17.8
5,7,8,0,6,6,2,0,4,1,5,0,3,4,1,0,0,0,0,0,4,0.209302326,-12.377512,20,13,33,14,10,24,10,14,24,8,15,23,0,0,0,130.890756,0,5520,2021,30.6
0,7,0,0,0,2,0,0,12,1,0,0,0,0,0,0,0,0,0,0,3,-0.52173913,-12.390698,7,12,19,2,1,3,13,9,22,0,0,0,0,0,0,130.911463,0,5521,2021,11.8
9,4,2,0,5,2,0,0,0,0,4,0,1,4,7,0,0,0,0,0,4,-0.472222222,-12.410151,15,6,21,7,13,20,4,13,17,12,6,18,0,0,0,130.922994,3,5523,2021,23.8
0,5,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,-0.363636364,-12.475906,5,0,5,7,2,9,2,12,14,0,0,0,0,0,0,130.985374,0,5501,2021,8.0
1,21,6,0,0,0,1,0,6,0,1,0,0,2,2,0,0,0,0,0,4,0.025641026,-12.458133,28,6,34,1,3,4,7,23,30,4,8,12,0,0,0,130.8427,0,7351,2021,19.8
2,5,8,0,7,1,20,0,22,0,4,0,13,7,2,0,0,0,0,0,4,0.083333333,-12.382654,15,42,57,28,9,37,26,8,34,22,32,54,0,0,0,130.853932,0,7249,2021,47.6
0,2,2,0,1,0,1,0,3,0,0,0,1,1,1,0,0,0,0,0,4,1.4,-12.45,4,5,9,2,1,3,3,3,6,3,3,6,0,0,0,130.9235,0,7130,2021,5.4
2,11,0,0,7,6,0,0,10,3,0,0,0,0,0,0,0,0,0,0,3,0.026315789,-12.374524,13,17,30,13,5,18,13,17,30,0,0,0,0,0,0,130.87454,0,7123,2021,21.6
0,6,14,0,0,4,3,0,3,5,1,1,5,0,0,0,1,0,0,0,5,-0.065217391,-12.45294,20,9,29,7,5,12,10,10,20,5,18,23,1,1,2,130.847549,0,6949,2021,23.4
6,4,0,0,9,4,0,0,5,1,0,0,0,0,0,0,0,0,0,0,3,0.0,-12.377574,10,14,24,13,7,20,6,8,14,0,0,0,0,0,0,130.88217,0,6830,2021,14.0
21,5,0,0,8,12,0,0,1,5,0,0,0,0,0,0,0,0,0,0,3,-0.1875,-12.366516,26,9,35,20,26,46,6,17,23,0,0,0,0,0,0,130.892152,0,6808,2021,28.8
0,2,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,-0.555555556,-12.391632,2,6,8,1,0,1,5,2,7,0,0,0,0,0,0,130.877968,0,6188,2021,3.8
0,29,0,0,2,5,0,0,77,34,0,0,0,0,0,0,0,0,0,0,3,0.006849315,-12.371739,29,79,108,7,34,41,111,34,145,0,0,0,0,0,0,130.863139,2,5981,2021,86.6
46,22,0,0,14,14,0,0,27,23,0,0,0,0,0,0,0,0,0,0,3,0.269565217,-12.424536,68,41,109,28,69,97,50,36,86,0,0,0,0,0,0,130.835473,0,5585,2021,75.6
1,7,4,0,3,1,14,0,1,1,1,0,2,12,3,0,0,0,0,0,4,0.351351351,-12.433465,12,6,18,18,14,32,3,11,14,17,19,36,0,0,0,130.923379,0,5528,2021,26.6
4,0,1,0,2,0,17,0,0,1,0,0,1,20,0,0,0,0,0,0,4,-0.192982456,-12.427641,5,3,8,19,25,44,1,0,1,21,18,39,0,0,0,130.907681,0,5527,2021,23.6
5,3,2,0,3,1,21,0,1,0,0,0,0,11,1,0,0,0,0,0,4,-0.076923077,-12.39541,10,4,14,25,16,41,1,5,6,12,23,35,0,0,0,130.882965,19,5526,2021,20.0
8,0,5,0,3,1,32,0,0,0,1,0,8,10,0,0,0,0,0,0,4,0.046153846,-12.395413,13,11,24,36,18,54,1,1,2,18,38,56,0,0,0,130.878263,0,5525,2021,27.8
4,21,2,0,0,1,0,0,13,4,2,0,5,11,0,0,0,0,0,0,4,0.05,-12.395447,27,18,45,1,19,20,19,22,41,16,4,20,0,0,0,130.871723,0,5524,2021,34.4
8,3,0,0,9,22,0,0,8,6,0,0,0,0,0,0,0,0,0,0,3,-0.138461538,-12.444442,11,17,28,31,14,45,14,25,39,0,0,0,0,0,0,130.952575,1,5500,2021,25.6
4,1,1,0,2,2,7,0,0,7,0,0,1,6,1,0,0,0,0,0,4,-0.219512195,-12.502173,6,3,9,11,17,28,7,4,11,8,8,16,0,0,0,130.998955,1,5982,2021,20.2
5,4,0,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0.666666667,-12.476771,9,5,14,4,5,9,1,4,5,1,1,2,0,0,0,130.99263,0,6951,2021,8.0
0,1,0,0,0,4,15,0,0,0,3,0,1,7,0,0,0,0,0,0,4,0.722222222,-12.493,1,1,2,19,7,26,3,5,8,8,18,26,0,0,0,131.019,0,7129,2021,15.8
1,2,0,0,5,3,4,0,1,1,1,0,0,1,1,0,0,0,0,0,4,-0.428571429,-12.473,3,6,9,12,3,15,3,6,9,2,5,7,0,0,0,130.983,1,7127,2021,9.2
0,0,1,0,0,6,22,0,1,1,10,0,0,2,1,0,0,0,0,0,4,0.466666667,-12.501095,1,1,2,28,3,31,12,7,19,3,33,36,0,0,0,131.006133,2,6566,2021,23.4
2,3,0,0,0,3,6,0,1,2,2,0,1,2,0,0,0,0,0,0,4,0.222222222,-12.479334,5,2,7,9,6,15,5,6,11,3,8,11,0,0,0,130.988479,0,6807,2021,11.0
4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.0,-12.481,4,8,12,8,4,12,0,0,0,0,0,0,0,0,0,130.97,0,7128,2021,6.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2023,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2023,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2023,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2023,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2023,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2023,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2023,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2023,0.0
