site_id,year,Count_Date,electorate,Trips/hour,avg_Diesel_14d,avg_Unleaded_91_14d,avg_Premium_95_14d,PC1_fuel_price
5585.0,2021,2021-07-27,Darwin,75.6,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5585.0,2023,2023-07-25,Darwin,54.0,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5981.0,2019,2019-09-03,Darwin,82.4,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5981.0,2021,2021-07-27,Darwin,86.6,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5981.0,2023,2023-07-25,Darwin,54.2,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
5982.0,2019,2019-09-03,Palmerston,21.2,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
5982.0,2021,2021-07-27,Palmerston,20.2,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
5982.0,2023,2023-08-08,Palmerston,23.4,199.68139947945207,187.55129182935156,201.92314189667252,2.7346738763852376
6188.0,2019,2019-09-03,Darwin,8.4,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
6188.0,2021,2021-08-24,Darwin,3.8,151.66676467058824,151.66631587008547,164.86333925614036,-0.6379618015394775
6188.0,2023,2023-08-08,Darwin,6.4,199.68139947945207,187.55129182935156,201.92314189667252,2.7346738763852376
6566.0,2019,2019-09-03,Palmerston,16.8,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
6566.0,2021,2021-08-24,Palmerston,23.4,151.66676467058824,151.66631587008547,164.86333925614036,-0.6379618015394775
6566.0,2023,2023-08-08,Palmerston,33.6,199.68139947945207,187.55129182935156,201.92314189667252,2.7346738763852376
6807.0,2019,2019-09-03,Palmerston,6.8,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
6807.0,2021,2021-07-27,Palmerston,11.0,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
6807.0,2023,2023-07-25,Palmerston,6.8,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
6808.0,2019,2019-09-03,Darwin,39.6,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
6808.0,2021,2021-07-27,Darwin,28.8,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
6808.0,2023,2023-08-01,Darwin,17.4,197.85519415882354,181.53234242564105,195.88143915614037,2.3195716409820566
6830.0,2021,2021-08-24,Darwin,14.0,151.66676467058824,151.66631587008547,164.86333925614036,-0.6379618015394775
6830.0,2023,2023-08-01,Darwin,19.4,197.85519415882354,181.53234242564105,195.88143915614037,2.3195716409820566
6949.0,2019,2019-09-03,Darwin,22.0,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
6949.0,2021,2021-08-24,Darwin,23.4,151.66676467058824,151.66631587008547,164.86333925614036,-0.6379618015394775
6949.0,2023,2023-07-25,Darwin,26.0,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
6951.0,2019,2019-09-03,Palmerston,2.8,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
6951.0,2021,2021-07-27,Palmerston,8.0,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
6951.0,2023,2023-08-09,Palmerston,9.8,200.20751775976564,188.44133006132878,202.81471635839162,2.801974437068197
7123.0,2019,2019-09-03,Darwin,17.4,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
7123.0,2021,2021-07-27,Darwin,21.6,146.4817389408284,149.37334599484535,163.0437718525755,-0.8861456248539499
7123.0,2023,2023-07-25,Darwin,17.8,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
7127.0,2019,2019-09-03,Palmerston,15.8,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
7127.0,2021,2021-08-24,Palmerston,9.2,151.66676467058824,151.66631587008547,164.86333925614036,-0.6379618015394775
7127.0,2023,2023-08-15,Palmerston,8.6,204.20870676254827,192.51225319561553,206.8521378062284,3.145769386649082
7128.0,2019,2019-09-03,Palmerston,1.6,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
7128.0,2021,2021-09-07,Palmerston,6.2,152.48046560795456,151.73149131301483,164.90290155912163,-0.6157329814761894
7128.0,2023,2023-08-08,Palmerston,10.8,199.68139947945207,187.55129182935156,201.92314189667252,2.7346738763852376
7129.0,2019,2019-09-03,Palmerston,5.4,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
7129.0,2021,2021-08-24,Palmerston,15.8,151.66676467058824,151.66631587008547,164.86333925614036,-0.6379618015394775
7129.0,2023,2023-07-25,Palmerston,12.4,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
7130.0,2019,2019-09-03,Darwin,3.0,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
7130.0,2021,2021-08-24,Darwin,5.4,151.66676467058824,151.66631587008547,164.86333925614036,-0.6379618015394775
7130.0,2023,2023-08-01,Darwin,6.6,197.85519415882354,181.53234242564105,195.88143915614037,2.3195716409820566
7249.0,2019,2019-09-03,Darwin,45.0,145.32499209558824,137.74861175427353,150.7416579617117,-1.6518546513215238
7249.0,2021,2021-08-24,Darwin,47.6,151.66676467058824,151.66631587008547,164.86333925614036,-0.6379618015394775
7249.0,2023,2023-07-25,Darwin,26.4,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
7351.0,2019,2019-09-04,Darwin,19.2,145.2851090802139,137.7176053030303,150.71350985012285,-1.6546133622850985
7351.0,2021,2021-09-07,Darwin,19.8,152.48046560795456,151.73149131301483,164.90290155912163,-0.6157329814761894
7351.0,2023,2023-07-25,Darwin,36.2,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
7850.0,2023,2023-07-25,Palmerston,4.8,197.37472170392158,177.6631714871795,191.8620565175439,2.0647786174478773
7851.0,2023,2023-08-15,Palmerston,10.6,204.20870676254827,192.51225319561553,206.8521378062284,3.145769386649082
7852.0,2023,2023-08-22,Palmerston,14.2,208.30400877904762,195.29740628666667,209.5889685675214,3.411883304099284
